Scholarship Name,Level of Study,Scholarship Value,Date,Eligibility,Benefits,Application,Descriptions,Link
Zinda Law Group of Denver Scholarship,Bachelor,One $1000 scholarship,1 December 2017,Selection will be based on academic history and extracurricular activities. Financial need will not be considered.Must be a U.S. Citizen or Permanent U.S. ResidentMust be enrolled in an accredited college or university and planning on continuing the next semester or a high school senior planning on attending college after graduation.,The scholarship recipient will be notified following the deadline. The award will be sent directly to the recipient by check to the recipient’s permanent mailing address.,To apply for this scholarship please submit the application on our website by December 1 2017. The essay should be 500-1000 words about why you are a good candidate to receive this scholarship.,Zinda Law Group is offering one $1000 scholarship to a student pursuing or planning to pursue higher education. This scholarship is open to high school students and college students. Zinda Law Group is dedicated to helping students around the country pursue their higher education goals.,https://zindalawgroupdenver.com/scholarship/
Daymond John's Success Formula Entrepreneurial Scholarship,Bachelor,$1500,18 August 2018,Value of the scholarship: $1500Number of scholarships available: 2 per yearMinimum SAT/ACT and GPA: NoneResidency Requirement(s): NoneSchool Year: UndergraduateMajor: BusinessRequired college state: NoneRequired college or university: NoneRequired race or heritage: NoneRequired student activities: NoneAny parental requirements such as a union membership or active military or veteran U.S. Citizenship: NoneSpecific disabilities: NoneReligion or religious heritage: NoneSports or hobbies: NoneGender: All may applyMarital status: Not considered,Just the listed funds,https://daymondjohnssuccessformula.com/scholarships/,Success Formula will award a one-time scholarship of $1500 to two students per year. In a 3-minute video students are asked to tell (or show) Daymond John why education is essential to their success as an entrepreneur. Videos must be uploaded to YouTube then the link can be submitted to the DJSF site following the submission of prompted questions. Applicants must be students in good standing at an accredited college university or trade school.For spring semester the deadline is November 30 and awards will be announced December 15. The fall deadline is August 18 and awards will be announced on or after September 1. The educational scholarship may be applied to qualified expenses including graduate and undergraduate tuition fees books and on-campus room and board for the academic year.Daymond John’s Success Formula will contact the winner directly via email. The winner will have 7 days to respond. Once it has been confirmed that the winner meets the eligibility criteria Daymond and his team will list the winner on its webpage. If the initial winner fails to respond within the specified period or does not meet any of the eligibility criteria Daymond John’s Success Formula reserves the right to pick a new winner at its sole discretion. The final winner will be announced via daymondjohnssuccessformula.com. Questions regarding the scholarship can be directed to scholarship@djsuccessformula.com.,
2018 Pro Stock Hockey Student Athlete Scholarship,Bachelor Master Phd Course,1 August 2018,,To qualify undergraduate or graduate students must attend an accredited college or university and play for the school’s hockey team.,Through the Pro Stock Hockey Student Athlete Scholarship we award the winning student $1000 to be used toward his or her degree. In addition we award $250 book scholarships to the two runners-up.,The deadline to apply for the Pro Stock Hockey Student Athlete Scholarship is August 1 2018. Winners will be announced August 15.,Pro Stock Hockey is not only a strong supporter of organized hockey but of education as well. We are proud to be able to help hockey-playing students who are pursuing degrees in higher education.,https://www.prostockhockey.com/scholarship/
Toptenthebest Scholarship Program in 2018,Bachelor Master Phd Course,$2000,11 August 2018,All students are required to write a 2000+ words essay. The topic to write is: How the internet has changed our daily lives?They should send their work to scholarship@toptenthebest.com. Also the essay should be accompanied by student’s full details like name telephone number and email address. The entire files are supposed to be in PDF or DOC format.,$2000 winning award,They should send their work to scholarship@toptenthebest.com. Also the essay should be accompanied by student’s full details like name telephone number and email address. The entire files are supposed to be in PDF or DOC format.,TopTenTheBest is aiming at offering a scholarship slot every year. I believe that it will be useful and will help students archive their academic goal.,https://www.toptenthebest.com/scholarship/
Clean Water Scholarship Competition,Bachelor,A one-off payment of $1500,31 May 2018,Requirements:The minimum and maximum requirement regarding the length of the essay response is 600-800 words. To be eligible the applicant must be entering or currently enrolled in an undergraduate degree be a US citizen national or permanent resident plan on attending an accredited US institution (two- or four-year college) and have a minimum 3.00 GPA.,We will be issuing a prize of $1500 to the student with the best essay reponse,How to apply?Applications must be sent via the Waterlogic website https://www.waterlogic.com/en-us/scholarship-competition/.The deadline for this scholarship application is May 31 2018.,Waterlogic is thrilled to announce this year’s scholarship opportunity open to all current or incoming college students. As a company committed to increasing global access to clean water we believe this scholarship will foster an increased awareness of issues related to such access as well as reward a student who has demonstrated a sincere interest in the matter.As such we look forward to issuing a prize of $1500 to the student who best outlines their response to the following prompt:Accessible clean water: how can we achieve it? 783 million people worldwide do not have access to safe clean water. In developing countries as much as 80% of illnesses are linked to poor water and sanitation conditions. Given the resources of today’s technological age how can the problem of clean water be resolved? Choose one solution and explain how this idea would specifically impact developing countries.The minimum and maximum requirement regarding the length of the essay response is 600-800 words.,https://www.waterlogic.com/en-us/scholarship-competition/
LiveCareer Education Opportunities Scholarship,Bachelor Master Phd,$1500,28 February 2018,Students 18 years of age or older enrolled full-time in an accredited school college or university and residing within the United States (excluding Puerto Rico),Each winner will receive $1500 toward their education,Applications must be submitted through the form-field found on https://www.livecareer.com/education-opportunities. Essays must be uploaded in .doc or .pdf form along with full name mailing address date of birth and the name of the school the student is attending.,"LiveCareer has helped millions of people with their resumes cover letters and job search needs. One of our core goals is to help people discover their passion especially when it comes to students who are preparing to enter the workforce for the first time. We've reviewed millions of resumes and we've noticed a common theme: the best-written resumes tell a story about the jobseeker's unique experiences and accomplishments. We want YOU to tell us about your proudest accomplishment. Submit a 200-800 word essay on the following prompt: ""What personal or educational accomplishment will you be most proud to share with future employers and why?"" Entries are submitted through the form-field found on https://www.livecareer.com/education-opportunities. We will be choosing three applicants who impress us with their accomplishments writing ability creativity and passion. Each winner will receive $1500 toward their education. The scholarship opens December 4 2017 and runs until February 28 2018. Good luck!",https://www.livecareer.com/education-opportunities
$1500 Nature-Saving Scholarship for Students,Bachelor Master Phd Course,$1000 and $500,11 March 2018,Students who are currently enrolled in high school university or college in any location can participate.,The first place winner will get $1000 and the second place $500. Note: each participant may send in only one submission and win only one award.We use student-generated content to write articles and make infographics on various topics concerning the environment. Your contribution will help raise awareness among people reading our blog posts!The best authors can count on their writing being published on our blog. Naturally that means our readers will see your name!Winners will receive individual certificates from HikeAndCycle.com.,Prepare a list of nature-saving rules on one of the following subjects:The Nature-Saving Rules of Responsible CampingHow Hikers Can Make Sure That They Don’t Hurt WildlifeRecommendations for Responsible Behavior Near Bodies of Water,Small text but big step in nature conservancyToday you have a unique chance to help nature conservancy without ever leaving your house—and you may even win an award! We are excited to give you the opportunity to win a $1000 or $500 scholarship using only your writing skills. Twice a year we hold a competition to award the best writers who support a responsible approach to outdoor activities!,https://hikeandcycle.com/scholarship/
Bachelor of Humanity and Resources,Bachelor,100% tuition fee,25 June 2018,Students who are currently enrolled in high school university or college in any location can participate.,We get a high standard of teaching for our future careers.,Confident hard working and truth God,I need a scholarship to get a better job in the future.,http://sholarship.com
MyDealsClub 2018 Scholarship,Bachelor Master Phd Course,$1000,30 June 2018,Both undergraduate and graduate students of 18+ age are welcomeCurrently enrolled in a US-based college or university,1st Place Award is $10002nd Place Award is $250,To Apply visit https://www.mydealsclub.com/mydealsclub-2018-scholarship-program/,With this Scholarship MydealsClub wants to support financially University students across the country. MydealsClub.com is a coupons and deals hub to help consumers make intelligent decisions when purchasing products online because not only are we offering the best deals for over 700 online stores we are providing great articles and advise to consumers  .,
Build The Best Facebook Messenger Lead Generating Chatbot,Bachelor,1.000 kr. funding,1 December 2018,All students are eligible.,Extend knowledge in bot buildingor gain some knowledge on the areaReceive funding from an exciting company,Send a link to the bot to kontakt@marky.dk and we'll review them all. The winner will be announced 01/12/2018.,Think of new ways to build a lead generating chatbot on Facebook. There's no formal requirements but the most one that brings out the biggest smile wins.,
Fully Funded United Kingdom Scholarship for Students,Bachelor Master Phd,100% Tuition fee with Air Fare,2 December 2018,Age: 20 PlusEducation: Any Region: AnyApply as soon as possible to crag this opportunity.,Following are the benefits:1. 100% Tuition fee scholarship2. Air Fare Tickets3. A stipend of Pound 1000 will be given to the student.,Apply to this scholarship through http://ukscholarshiplist.blogspot.com/2017/10/uk-fully-funded-scholarship-for.html,Can you want to study in United Kingdom then opportunity is waiting for you to go to United Kingdom and Study there. Apply As soon as Possible. To Make your dream Come true.,https://ukscholarshiplist.blogspot.com/2017/10/uk-fully-funded-scholarship-for.html
Fix The Photo Academic Scholarship,Bachelor,1500 $,31 May 2018,Any freshmen and undergraduate students worldwide are eligible to apply for the Fix The Photo Academic Scholarship.,Following are the benefits:1. 100% Tuition fee scholarship2. Air Fare Tickets3. A stipend of Pound 1000 will be given to the student.,Students should create their own essay by following all instructions which is described on our website.,Fix the Photo is pleased to offer students the opportunity to receive one of three awards which are $1500 per each one. The lucky winners will be able to use the scholarship money for their education. Any freshmen and undergraduate students worldwide are eligible to apply for the Fix The Photo Academic Scholarship. The task is to write an essay of nearly 1500-2000 words on topic: «How photography could help other industries».,http://fixthephoto.com/academic-scholarship
US Study Scholarship First come first serve Scholarship,Bachelor Master Phd,100% Tuition fee with Air Fare,12 March 2018,Students that are interested in Going Abroad.,Following are some of the benefits that you will receive while getting this scholarship:1. Tuition Fees2. Air Fare Tickets3. A Monthly Stipend of $50004. Money for your Books and other expenses.,You can apply here http://usschoarships.blogspot.com/2017/10/scholarships-for-undergraduate-students.html,Can You want to study in United states then it is a Global Opportunity for you to go to united states and get education over there. Students of United states can also apply here.,https://usschoarships.blogspot.com/2017/10/scholarships-for-undergraduate-students.html
Fully Funded Student Scholarships ,Bachelor Master Phd,$5000 Per Semester ,12 February 2018,Any Student can apply for this Scholarship. You must have a Minimum GPA of 2.5 to get into the Scholarship Enroll.,Following are some of the benefits that you will receive:1. Your Tuition fee2. A Monthly Stipend 3. Books cost,You can Apply here: http://usschoarships.blogspot.com/2017/10/fully-funded-scholarship-for-all-student.html,Fully Funded Scholarship is available for those Students who want to perceive further education.,https://usschoarships.blogspot.com/2017/10/fully-funded-scholarship-for-all-student.html
The Beauty + Wellness Scholarship for Women,Bachelor Master Phd,$1000,31 March 2018,Here is a brief summary of the eligibility requirements:        + Must be a graduating high school senior current college undergraduate or current graduate student at a 4-year 2-year vocational or technical school in the United States.        + Must be a U.S. Citizen or Permanent Resident        + Must identify as female.        + We welcome all majors and GPAs to apply!,the winner will receive a $1000 scholarship award and a care package filled with organic products.,We’re asking women college students to share their personal wellness journeys and experiences as students. To apply complete and submit the short online application by midnight PST on January 1st March 31st June 30th and September 30th every year.  All applicants must submit a 500 word maximum essay on the essay prompt below. Student essays will be judged on their originality creativity and dedication to healthy lifestyle choices.,Living a totally healthy lifestyle can be surprisingly challenging in our modern society—especially for college students! The Skin Care Ox: Beauty + Wellness Scholarship for Women program was established to provide financial support to college women who are striving to lead healthy lifestyles. If you’re a female high school senior undergraduate or graduate student who is committed to maintaining personal wellness then this is the scholarship for you!,https://www.skincareox.com/scholarship/
Versitas Education Scholarship,Bachelor,$1000,31 December 2017,To qualify students must have a minimum GPA of 2.7 and study one of the following: Business Administration Human Resources Management Business & MBA Adult Education,$1000 towards tuition and other school fees.,"Compose a 500 word or less essay response for the following topic ""What will Microsoft Office look like in 2032 (15 years from now)?"" Submit the response in a PDF format to scholarship@versitas.com Additional instructions can be found on the scholarship page: http://versitas.com/company/scholarship/","This $1000 scholarship opportunity is available for business students. Send in an essay response for the following questions:  ""What will Microsoft Office look like in 2032  (15 years from now)?""",http://versitas.com/company/scholarship/
Quantum Communications from Space,Phd,$37000 plus Tuition Fee,15 January 2018,First Class Honours Undergraduate Degree in Physics or Engineering,This PhD Scholarship is sponsored by Northrop Grumman. The scholarship stipend is anticipated to be approximately $37000 (AUD) per year for the duration of the 3 year PhD. An extra 6 months of stipend will be provided if needed. One trip per year to the US to visit Northrop Grumman is anticipated and travel funds to attend international conferences will also be provided. This scholarship is open to both domestic and international candidates. A Tuition Fee Scholarship (TFS) will be provided by UNSW to successful international candidates. The deadline for applications is 15th January 2018. The student is expected to commence studies at UNSW Sydney by March 31 2018.,Contact r.malaney@unsw.edu.au,Quantum communication via low-orbit satellites offers up a paradigm shift in telecommunications. Providing for unparalleled communication security this emerging technology will also lead us into the development of the global quantum internet. This research area was given a large boost recently with the launch of the World's first quantum satellite by China. This new satellite creates entangled photon pairs beaming them down to Earth for subsequent processing and use in a range of communication scenarios. In this PhD project we will leverage optical quantum communications quantum error correction and channel modelling to deliver novel and optimized quantum communication protocols specifically designed for the turbulent atmospheric paths traversed by entangled photons emanating from a satellite. We will be particularly focussed on quantum key distribution (QKD) protocols and the resulting ultra-secret key rates that can be produced from the different variants of such protocols. We will consider multiple quantum information carriers such as those involving discrete variables (DV) coded into single photons and continuous variables (CV) coded into weak laser pulses. Manipulation of these quantum states will involve feedback mechanisms based partially on assessments of the satellite-to-ground channels. This work will lead to state-of-the-art quantum communication protocols that optimize secure communication throughput over very large distances. It offers the PhD candidate the opportunity to enter an exciting and emerging technology frontier that is positioned at the interface of advanced quantum physics and satellite-based communications.,https://www.engineering.unsw.edu.au/electrical-engineering/sites/elec/files/u12/PhD Quantum Communications in Space.pdf
QKD from Space Based Quantum Communications,Phd,$37000 plus Tuition Fee,15 January 2018,A first class honours degree in Physics or Engineering,This PhD Scholarship is sponsored by Northrop Grumman. The scholarship stipend is anticipated to be approximately $37000 (AUD) per year for the duration of the 3 year PhD. An extra 6 months of stipend will be provided if needed. One trip per year to the US to visit Northrop Grumman is anticipated and travel funds to attend international conferences will also be provided. This scholarship is open to both domestic and international candidates. A Tuition Fee Scholarship (TFS) will be provided by UNSW to successful international candidates. The deadline for applications is 15th January 2018. The student is expected to commence studies at UNSW Sydney by March 31 2018.,Contact R. Malaney  at r.malaney@unsw.edu.au,Quantum communication via low-orbit satellites offers up a paradigm shift in telecommunications. Providing for unparalleled communication security this emerging technology will also lead us into the development of the global quantum internet. This research area was given a large boost recently with the launch of the World's first quantum satellite by China. This new satellite creates entangled photon pairs beaming them down to Earth for subsequent processing and use in a range of communication scenarios. In this PhD project we will leverage optical quantum communications quantum error correction and channel modelling to deliver novel and optimized quantum communication protocols specifically designed for the turbulent atmospheric paths traversed by entangled photons emanating from a satellite. We will be particularly focussed on quantum key distribution (QKD) protocols and the resulting ultra-secret key rates that can be produced from the different variants of such protocols. We will consider multiple quantum information carriers such as those involving discrete variables (DV) coded into single photons and continuous variables (CV) coded into weak laser pulses. Manipulation of these quantum states will involve feedback mechanisms based partially on assessments of the satellite-to-ground channels. This work will lead to state-of-the-art quantum communication protocols that optimize secure communication throughput over very large distances. It offers the PhD candidate the opportunity to enter an exciting and emerging technology frontier that is positioned at the interface of advanced quantum physics and satellite-based communications.,https://www.engineering.unsw.edu.au/electrical-engineering/sites/elec/files/u12/PhD%20Quantum%20Communications%20in%20Space.pdf
CricketPrediction365 Scholarship Program,Course,$3000,31 October 2018,Available to a commencing or current student who can demonstrate a talent and commitment to cricket. Selection will based on the following five criteria:1. Cricket skill ie representative levels and success at those levels;2. Academic achievement and potential to succeed at university;3. Leadership skills and experiences;4. Cricket involvement eg coaching;5. Community involvement.,Are you thinking of going to college to  study sports related programmes?Do you want to get a first class education that will get you to University?Do you want to study on a full time Cricket and Education programme?Do you want to gain qualifications necessary to enable you to work in the sports and active leisure industry?Do you want access to the professional cricket community?Do you aspire to become a better batsman or bowler?Do you want to train and play like a top knotch cricketer?,https://cricketprediction365.com/cricketprediction365-scholarship-program,CricketPrediction365 offers latest Today Match Prediction for all the international domestic T20 League Test ODI t20 matches and Live cricket score ball by ball. CricketPrediction365.com design Scholarship Program If you believe you’re great with bat or ball in hand or maybe gifted enough to be an all-rounder in the game the CricketPrediction365 design Scholarship Program for people just like you. Delivered in partnership with many leading cricket clubs across the country it’s the perfect place to be if you’re looking for the right start to your future career.16-20 years old?,https://cricketprediction365.com/cricketprediction365-scholarship-program
The Purpose Challenge,Bachelor,6 prizes: 1 x $25000 first place winner and 5 x $5000 winners,1 February 2018,Age: 16+ (HS Seniors only)No GPA requirementMust complete toolkit and submit essayMust submit essay in EnglishMust live in the USMust attend accredited college (through US Department of Education) in Fall 2018,Are you thinking of going to college to  study sports related programmes?Do you want to get a first class education that will get you to University?Do you want to study on a full time Cricket and Education programme?Do you want to gain qualifications necessary to enable you to work in the sports and active leisure industry?Do you want access to the professional cricket community?Do you aspire to become a better batsman or bowler?Do you want to train and play like a top knotch cricketer?,Students must complete the Toolkit online: https://purposechallenge.org/toolkit/,An innovative and inspiring new online tool The Purpose Challenge draws on decades of research into the roots and benefits of purpose. The toolkit incorporates video content reading materials and brief written exercises – such as imagining your ideal life at age 40 – to help high school seniors reflect on and refine their sense of purpose. Additionally it contains step-by-step guidance on how to write a meaningful college essay along with providing sample essays for review. Teens can then inject their newly fleshed out sense of purpose in their college application essay and win up to $25000 for college! Learn more at http://www.purposechallenge.org.,https://purposechallenge.org
Fully Funded scholarship First come first serve,Bachelor Master Phd,$5000 per month of scholarship ,2 December 2018,Students of any field can apply here.,$5000 per monthFree educationOther benefits,Apply here http://usschoarships.blogspot.com/2017/10/fully-funded-scholarship-for-all-student.html,Can you want to perceive your studies in United states or in any other country then you can apply from here. Get a scholarship by applying here. Students who have a high academic record should be on the high priority.,https://usschoarships.blogspot.com/2017/10/fully-funded-scholarship-for-all-student.html
Scholarship Essay Writing Contest for Students,Bachelor Course,$1000,1 December 2017,Only students of high school college or university who are currently studying will be allowed to entry into the contest. Gender race age and nationality don’t matter. No entrance fees are required.,Winners of our scholarship contest will earn money prizes:1st prize – $5002nd prize – $3503rd prize – $150,Create an awesome essay and send it to scholarship@essayshark.com with the letter subject “EssayShark Scholarship Essay Contest.”,Dear all! We are extremely excited to announce our first scholarship contest for students which will be held on an annual basis. We give you an awarded chance to show your writing skills.,https://essayshark.com/blog/scholarship-essay-writing-contest-for-students/
Ratingle Scholarship Program,Bachelor Master Phd Course,$1000,,The student must be currently enrolled in or enrolled to begin higher education studies in the fall semester 2017. Applicants must be permanent residents of the United States.,Winners of our scholarship contest will earn money prizes:1st prize – $5002nd prize – $3503rd prize – $150,Requirements: All essays must be submitted by April 30th 2018. The student must be currently enrolled in or enrolled to begin higher education studies in the fall semester 2017. Applicants must be permanent residents of the United States. Ratingle will retain all rights to the submitted content and may publish it at its own discretion. This is an on-going scholarship. The above deadline refers to the current cycle only.For questions or comments feel free to reach out to us at ratinglescholarships@gmail.com,The Ratingle Scholarship subject is product reviews. Students should choose a unique gadget that made their last year different. The gadget could be of any field (studies/electronics/fun etc.) The video should introduce the product and answer the most important questions others may have before purchasing this product.Prize – $1000Guidelines:Please take a video of maximum 90 seconds reviewing the coolest gadget you have used recently.Over the past years buying online becomes more and more trendy but paying for products we can’t really see or touch in real life is not that simple.Therefore as buyers we should carefully read reviews and recommendations of others who used the product we are about to buy though sometimes even those reviews are fake or even written by the retailers themselves.As an independent product and service review site Ratingle often encounters with many product pages that appear to be fake and misleading the readers.Many students buy different kinds of products online whether it is for studies computer essentials home appliances or just for fun.In your video review the coolest gadget you have recently used this can be everything that was useful for you make sure to answer the most important questions others may have before buying this product and speak loud and clear.Tips for applicants: High video qualityClear soundUse content with permissions only (as music tracks)Show the productDescribe Primary FeaturesLearn from YouTube professional reviewersBe creative How to apply:*UPLOAD UNLISTED VIDEO*Sign into your YouTube account.Click on Upload at the top of the page.Before you start uploading the video choose the video privacy settings – “Unlisted”Select the video you’d like to upload from your computer.Click Done to finish the upload or click Share to privately share your video.Uploading video to youtube (unlisted) [Maximum 90 seconds]Video title: [FULL NAME] – Ratingle Scholarship – [Product Name] [Product Brand Name]Description: www.Ratingle.com/Scholarship[100-200 words why people should use this product.],http://ratingle.com/scholarship/
Foot Locker Scholar Athletes,Bachelor,$20000,15 December 2017,In order to be eligible for the Foot Locker Scholar Athletes program the applicant must:- Be a current high school senior entering a four-year accredited US college or university in the Fall of 2018- Be currently a member (in good standing) of a high school sports team or be involved in after-school sports (e.g. intramurals martial arts etc.)- Have maintained an unweighted GPA of 3.0 or higher from ninth grade to first semester of 12th grade- Be a U.S. citizen or US Permanent Legal Resident- Foot Locker employees and their immediate family members are ineligible,Each student will receive $20000 in college scholarship money for their excellence in school on their sports teams and in their communities. The scholarship will be awarded in four equal annual payments of $5000 throughout the winner's four-year college career. In addition to the $20000 Foot Locker Scholar Athletes scholarship one of our 20 winners will also be selected for the Ken C. Hicks scholarship for demonstrating superior educational achievement outstanding leadership and a true love of the game. This winner will receive an additional $5000 award (for a total of $25000). This student will receive their scholarship in four yearly installments each of $6250.,Submission of a fully completed online application which includes:- at least 1 non-family member must submit a recommendation on behalf of the applicant through the online application system- Short response essays following the prompts on the online application,Our scholarship is open to U.S. students who are currently involved in high school sports intramural sports or community-based sports. Applicant must be entering college in fall 2018 as a freshman at a four-year school for an undergraduate degree.,https://footlockerscholarathletes.com/
ALLTOPGUIDE Scholarship Program,Bachelor Master Phd Course,$1000,30 June 2018,Here is a brief list of the requirements:To apply for this scholarship applicants shall submit a 1000+ words essay on the following topic: A short essay about your inspiration in life.,Award: $1000 (One Thousand US Dollars)  to continue your study.,The applicants shall send the attached essay (PDF or Doc Format) by including the detailed information such as full name sex age phone number and email to scholarship@alltopguide.com.,"This scholarship is called ""ALLTOPGUIDE Scholarship Program"" and it's aimed to make thing a little easier for students and encourage talented students for any education opportunities as also to contribute to human resource development.",https://alltopguide.com/scholarship-program/
UCLA Math Undergraduate Merit Scholarship,Bachelor,Tuition fees room and board,30 November 2017,The award is renewable for four years subject to the following requirements:-Maintain satisfactory and timely academic progress towards their degree and remain in good academic standing.-Maintain at least a 3.5 GPA in mathematics courses-Declare a mathematics major upon admission and remain in the major-Pass the basic exam by the end of their third year of studiesEligibility Requirements and application process-12th grader applying to UCLA for admission next Fall.-Outstanding academic record and standardized test scores (TOEFL and SAT/ACT).-Evidence of exceptional background and promise in mathematics. Such evidence may include one of the following:*Placing in the top 25% in the U.S.A. Mathematics Olympiad (USAMO) or comparable (International Mathematics Olympiad level) performance on a similar national competition or*Advanced (upper-division college level) coursework or*Original research work in mathematics.,The scholarship covers tuition fees as well as room and board.,For more information or to apply please visit www.math.ucla.edu/ugrad/mums.,The UCLA Department of mathematics Undergraduate Merit Scholarship is awarded to an incoming freshman who has an exceptional background and promise in mathematics. The scholarship covers tuition fees as well as room and board.,https://www.math.ucla.edu/ugrad/mums
100% tuition fee scholarship by Musashino University in Tokyo,Bachelor,100% tuition fees,31 January 2018,Applicant must meet (1)-(3).Applicant must be at least 18 years of age as at 31st August 2018.Applicant must have completed 12 years of formal education as at 31st August 2018.Applicant must have a minimum score of TOEFL iBT 61 IELTS Academic 5.5 or equivalent (Band 4.0 at MUST/C at SPM 1119 accepted) at the time of application.,S-100% waiver of tuition fees and Education Enhancement Fee (Max 10 students)A-100% waiver of tuition fees (Max 20 students)B-50% waiver of tuition fees (Max 25 students)C-30% waiver of tuition fees (Max 25 students),How to Apply: Submit your application with necessary documents to us.For more details please check our websitehttp://w-square.com/english/information/mu2018/Contact Info: mu2018@world-edu.com.sgDeadline is 31st January 2018,Musashino University in Tokyo Japan is offering scholarship for Malaysians to pursue a 4 year undergraduate program.Global Studies Faculty is offering Global Business (Conducted in English) for 4 year undergraduate courses.,http://w-square.com/english/information/mu2018/
School of Dramanice scholarships,Bachelor Master Course,$3000,31 May 2018,If you already have some skill in like costuming special effects editing film scoring production and even marketing you may be able to win a scholarship. The Society of Illustrators holds an annual Student Scholarship Competition with an film/tv/drama category. The competition is open to college students and the award varies by year and category.,This scholarship is awarded to either graduate or undergraduate students who have provided evidence of financial need and are in good academic standing.,To participate in this scholarship program you will have to research and create a piece of content between 400 –600 words on the subject “dramahow to make dramadrama with english subbed”We want you to include one of the following idea:  Drama and Film Studies University Film and Drama Degree Courses Top 10 Drama Universities UK University of Kent FilmScholarship DetailsAward Amount: $3000Deadline: may 31st 2018Winner Announcement: June 30th 2018Email ID: scholarship@koreandramanice.comScholarship Page: http://www.koreandramanice.com/dramanice-scholarship/,The School of Drama Nice awards scholarships for undergraduate students for the next academic year. Scholarships can range from $3000 to three paid quarters of resident tuition.,http://www.koreandramanice.com/dramanice-scholarship/
MORPHISEC'S WOMEN IN CYBERSECURITY SCHOLARSHIPS,Bachelor Master Phd,$1000$1500$2500,15 May 2018,Applicants must be enrolled at an accredited college or university during the 2017-2018 academic school year. Applicants must also be U.S. Citizens or Permanent Legal Residents of the Unites States.,Financial Aid,Write an original essay on one of the following topics:Are there women in cybersecurity today that you see as role models? Who and why?The importance of cybersecurity i.e. its role in business and protecting society personal information etc.Where will cybersecurity be 10 years from now?In your perspective what were the worst cyber attacks in 2017?Cybersecurity’s human and technology elements: Will technology ever be able to secure us?Applicants’ essays will be judged on creativity thoughtfulness and insight.All essays should consist of 400-600 words.Fill in this application form http://engage.morphisec.com/women-in-cybersecurity-application,At Morphisec we believe that diversity drives innovation and we strive to increase the number of women employed in cybersecurity and related fields. Our current scholarship opportunities are open to female students who are studying for degrees in:Cyber SecurityInformation AssuranceInformation SecurityInformation Systems SecurityOther sub-disciplines of computer science,https://www.morphisec.com/about-us/cybersecurity-scholarships/
HonestOpinion.tech Student Scholarship Programme,Bachelor Master Phd Course,Annual Scholarship of $1000 dollars (USD) towards the costs of education.,31 May 2018,Whether you’re a secondary school student undergraduate or a post-graduate you can apply. All you need is a valid student identification card of an educational institute. Any other applications will be disregarded.,HonestOpinion.tech is introducing this scholarship is our way of contributing to the society. We realize that education is not cheap nowadays and a student apart from being bright and brilliant must have financial assets to meet his/her educational needs. We therefore take it as our privilege to help talented people succeed. Each year “HonestOpinion” will award one student a scholarship worth $1000.,You have to Email us your details at scholarship@honestopinion.tech along with the area of study and we’ll provide you a topic to write an article.The article must be unique and syntactically mistake free.Submissions must be sent in Microsoft Word or PDF formatOnly English language submissions will be acceptedSubmit your essay/article by emailing us at scholarship@honestopinion.tech with the subject “Student Scholarship-2018.”,The student has to write an essay on a given topic and mail it to scholarship@honestopinion.tech with the subject “Student Scholarship-2018.”  After the end date of 31st May 2018 we will shortlist 5 Best articles among all that have been sent to us. The one that is most loved/viewed by our audience will be declared the winner. Our major criteria will be analyzed through Google Analytics metrics like Bounce rate Bounce time exit ratio social shares etc.,https://honestopinion.tech/scholarship/
ReviewerTouch $1000 Scholarship Program,Bachelor Master,$1000,1 August 2018,You must have these qualities to be eligible for participationA hint about how digital marketing workPassion for writingStrong observations about real life digital marketing workingExpressive writing mannerA strong will to get famous,All your efforts will pay excellently. Here is the highlight for few of the rewardsAmount of $1000 to the selected entryMentions in the university PRsMentions in the headline of university websiteA chance to be a part of our writing team,"In order to participate in our scholarship program you must submit the following information:Full Name  Phone NumberAddress and EmailUniversity / School NameCopy of school / university transcript An Essay about "" Digital Marketing "" Sent us Via Email : scholarship@reviewertouch.com",We are introducing a $1000 scholarship program for students. We are renowned for the quality of education expert staff members and exceptional ranking of the students among other university students.,https://www.reviewertouch.com/scholarship/
2018 RevPart STEM Scholarship,Bachelor,(2) - $250 each (1) - $1000 each),31 December 2017,Any student majoring in a STEM field that is attending an accredited college may apply.,RevPart is proud to support the next generation of science technology engineering and math (STEM) students by providing a scholarship of $1000 to a student demonstrating excellent promise in their area of study.RevPart will also be offering a book scholarship for the first and second runner-up.,Please apply using the form here: https://revpart.com/scholarship/,RevPart is proud to support the next generation of science technology engineering and math (STEM) students by providing a scholarship of $1000 to a student demonstrating excellent promise in their area of study. As an innovator in the tech industry we understand the importance of the STEM fields and wish to advocate for the industry's future leaders by assisting their efforts towards a degree.,https://revpart.com/scholarship/
