Rank,University,Location,Description,Link
948,Lewis-Clark State College,Lewiston ...,Founded in 1893 Lewis-Clark State College is a non-profit public higher education institution located in the urban setting of the medium-sized town of Lewiston (population range of 10000-49999 inhabitants) Idaho. This institution has also branch campuses in the following location(s): Coeur d'Alene. Officially accredited and/or recognized by the Northwest Commission on Colleges and Universities Lewis-Clark State College (LCSC) is a small (uniRank enrollment range: 5000-5999 students) coeducational higher education institution. Lewis-Clark State College (LCSC) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 127 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 90-100% making this US higher education organization a least selective institution. International students are welcome to apply for enrollment.,/reviews/5373.htm
949,Franklin College,Franklin,Founded in 1834 Franklin College is a non-profit private higher education institution located in the suburban setting of the medium-sized town of Franklin (population range of 10000-49999 inhabitants) Indiana.  Officially accredited and/or recognized by the Higher Learning Commission Franklin College (FC) is a very small (uniRank enrollment range: 1000-1999 students) coeducational higher education institution formally affiliated with the Christian-Baptist religion. Franklin College (FC) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 186 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.,/reviews/5487.htm
950,The University of Tennessee Health Science Center,Memphis,Founded in 1911 The University of Tennessee Health Science Center is a non-profit public higher education institution located in the medium-sized city of Memphis (population range of 500000-1000000 inhabitants) Tennessee.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges The University of Tennessee Health Science Center (UTHSC) is a small (uniRank enrollment range: 2000-2999 students) coeducational higher education institution. The University of Tennessee Health Science Center (UTHSC) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 109 years old higher-education institution has a selective admission policy based on entrance examinations.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.,/reviews/6633.htm
951,Northland College,Ashland,Founded in 1906 Northland College is a non-profit private higher education institution located in the rural setting of the small town of Ashland (population range of 2500-9999 inhabitants) Wisconsin.  Officially accredited and/or recognized by the Higher Learning Commission Northland College  is a very small (uniRank enrollment range: 500-999 students) coeducational higher education institution formally affiliated with the Christian-Protestant religion. Northland College offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 114 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.,/reviews/6881.htm
952,Fitchburg State University,Fitchburg,Founded in 1894 Fitchburg State University is a non-profit public higher education institution located in the suburban setting of the medium-sized town of Fitchburg (population range of 10000-49999 inhabitants) Massachusetts.  Officially accredited and/or recognized by the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges Fitchburg State University (FSU) is a large (uniRank enrollment range: 10000-14999 students) coeducational higher education institution. Fitchburg State University (FSU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 126 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.,/reviews/5715.htm
953,South Texas College,McAllen,Established in 1993 South Texas College is a non-profit public higher education institution located in the large town of McAllen (population range of 50000-249999 inhabitants) Texas.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges South Texas College  is a very large (uniRank enrollment range: 40000-44999 students) coeducational higher education institution. South Texas College offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This higher education institution does not have a selective admission policy.,/reviews/16910.htm
954,Lancaster Bible College,Lancaster,Established in 1933 Lancaster Bible College is a non-profit private higher education institution located in the suburban setting of the large town of Lancaster (population range of 50000-249999 inhabitants) Pennsylvania.  Officially accredited and/or recognized by the Middle States Commission on Higher Education Lancaster Bible College (LBC) is a small (uniRank enrollment range: 2000-2999 students) coeducational higher education institution formally affiliated with the Christian-Nondenominational religion. Lancaster Bible College (LBC) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 87 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/6454.htm
955,Auburn University at Montgomery,Montgomery,Established in 1967 Auburn University at Montgomery is a non-profit public higher education institution located in the urban setting of the large town of Montgomery (population range of 50000-249999 inhabitants) Alabama.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Auburn University at Montgomery (AUM) is a medium-sized (uniRank enrollment range: 6000-6999 students) coeducational higher education institution. Auburn University at Montgomery (AUM) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 53 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International applicants are eligible to apply for enrollment.,/reviews/4928.htm
956,College of Saint Elizabeth,Morristown,Established in 1899 College of Saint Elizabeth is a non-profit private higher education institution located in the suburban setting of the medium-sized town of Morristown (population range of 10000-49999 inhabitants) New Jersey.  Officially accredited and/or recognized by the Middle States Commission on Higher Education College of Saint Elizabeth (CSE) is a very small (uniRank enrollment range: 1000-1999 students) women only higher education institution formally affiliated with the Christian-Catholic religion. College of Saint Elizabeth (CSE) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 121 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/6004.htm
957,Bemidji State University,Bemidji,Established in 1919 Bemidji State University is a non-profit public higher education institution located in the rural setting of the medium-sized town of Bemidji (population range of 10000-49999 inhabitants) Minnesota.  Officially accredited and/or recognized by the Higher Learning Commission Bemidji State University (BSU) is a small (uniRank enrollment range: 5000-5999 students) coeducational higher education institution. Bemidji State University (BSU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 101 years old higher-education institution has a selective admission policy based on entrance examinations.  The admission rate range is 90-100% making this US higher education organization a least selective institution. International applicants are eligible to apply for enrollment.,/reviews/5830.htm
958,York College of Pennsylvania,York,Founded in 1787 York College of Pennsylvania is a non-profit private higher education institution located in the suburban setting of the medium-sized town of York (population range of 10000-49999 inhabitants) Pennsylvania.  Officially accredited and/or recognized by the Middle States Commission on Higher Education York College of Pennsylvania (YCP) is a small (uniRank enrollment range: 5000-5999 students) coeducational higher education institution. York College of Pennsylvania (YCP) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 233 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 40-50% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.,/reviews/6523.htm
959,Huntingdon College,Montgomery,Founded in 1854 Huntingdon College is a non-profit private higher education institution located in the suburban setting of the large town of Montgomery (population range of 50000-249999 inhabitants) Alabama.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Huntingdon College  is a very small (uniRank enrollment range: 1000-1999 students) coeducational higher education institution formally affiliated with the Christian-Methodist religion. Huntingdon College offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 166 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.,/reviews/16847.htm
960,Brigham Young University-Hawaii,Laie,Founded in 1955 Brigham Young University-Hawaii is a non-profit private higher education institution located in the suburban setting of the small town of Laie (population range of 2500-9999 inhabitants) Hawaii.  Officially accredited and/or recognized by the WASC Senior College and University Commission Brigham Young University-Hawaii (BYUH) is a small (uniRank enrollment range: 3000-3999 students) coeducational higher education institution formally affiliated with the Christian-Restorationist religion. Brigham Young University-Hawaii (BYUH) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 64 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 30-40% making this US higher education organization a very selective institution. International students are welcome to apply for enrollment.,/reviews/5361.htm
961,Northwest University,Kirkland ...,Founded in 1934 Northwest University is a non-profit private higher education institution located in the suburban setting of the medium-sized town of Kirkland (population range of 10000-49999 inhabitants) Washington. This institution has also branch campuses in the following location(s): Seattle. Officially accredited and/or recognized by the Northwest Commission on Colleges and Universities Northwest University (NU) is a very small (uniRank enrollment range: 1000-1999 students) coeducational higher education institution formally affiliated with the Christian-Pentecostal religion. Northwest University (NU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 86 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 90-100% making this US higher education organization a least selective institution. International students are welcome to apply for enrollment.,/reviews/6825.htm
962,Boston Architectural College,Boston,Founded in 1889 Boston Architectural College is a non-profit private higher education institution located in the urban setting of the medium-sized city of Boston (population range of 500000-1000000 inhabitants) Massachusetts.  Officially accredited and/or recognized by the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges Boston Architectural College (BAC) is a very small (uniRank enrollment range: 500-999 students) coeducational higher education institution. Boston Architectural College (BAC) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 130 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades. International students are welcome to apply for enrollment.,/reviews/5701.htm
963,Southwest Minnesota State University,Marshall,Established in 1963 Southwest Minnesota State University is a non-profit public higher education institution located in the rural setting of the medium-sized town of Marshall (population range of 10000-49999 inhabitants) Minnesota.  Officially accredited and/or recognized by the Higher Learning Commission Southwest Minnesota State University (SMSU) is a medium-sized (uniRank enrollment range: 8000-8999 students) coeducational higher education institution. Southwest Minnesota State University (SMSU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 57 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/5856.htm
964,Eastern Virginia Medical School,Norfolk,Established in 1973 Eastern Virginia Medical School is a non-profit public private partnership higher education institution located in the urban setting of the large town of Norfolk (population range of 50000-249999 inhabitants) Virginia.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Eastern Virginia Medical School (EVMS) is a very small (uniRank enrollment range: 1000-1999 students) coeducational higher education institution. Eastern Virginia Medical School (EVMS) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 47 years old higher-education institution has a selective admission policy based on entrance examinations.,/reviews/6772.htm
965,Felician University,Lodi ...,Established in 1942 Felician University is a non-profit private higher education institution located in the suburban setting of the medium-sized town of Lodi (population range of 10000-49999 inhabitants) New Jersey. This institution has also branch campuses in the following location(s): Rutherford. Officially accredited and/or recognized by the Middle States Commission on Higher Education Felician University (FU) is a small (uniRank enrollment range: 2000-2999 students) coeducational higher education institution formally affiliated with the Christian-Catholic religion. Felician University (FU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 78 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International applicants are eligible to apply for enrollment.,/reviews/6008.htm
966,Xavier University of Louisiana,New Orleans,Established in 1925 Xavier University of Louisiana is a non-profit private higher education institution located in the urban setting of the small city of New Orleans (population range of 250000-499999 inhabitants) Louisiana.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Xavier University of Louisiana (XULA) is a small (uniRank enrollment range: 3000-3999 students) coeducational higher education institution formally affiliated with the Christian-Catholic religion. Xavier University of Louisiana (XULA) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 95 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/5636.htm
967,East Stroudsburg University,East Stroudsburg,Founded in 1893 East Stroudsburg University is a non-profit public higher education institution located in the urban setting of the medium-sized town of East Stroudsburg (population range of 10000-49999 inhabitants) Pennsylvania.  Officially accredited and/or recognized by the Middle States Commission on Higher Education East Stroudsburg University (ESU) is a medium-sized (uniRank enrollment range: 7000-7999 students) coeducational higher education institution. East Stroudsburg University (ESU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 127 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International students are welcome to apply for enrollment.,/reviews/6433.htm
968,Lasell College,Newton,Established in 1851 Lasell College is a non-profit private higher education institution located in the urban setting of the large town of Newton (population range of 50000-249999 inhabitants) Massachusetts.  Officially accredited and/or recognized by the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges Lasell College (LC) is a small (uniRank enrollment range: 2000-2999 students) coeducational higher education institution. Lasell College (LC) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 169 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/5722.htm
969,Immaculata University,Immaculata ...,Established in 1920 Immaculata University is a non-profit private higher education institution located in the suburban setting of the small town of Immaculata (population range of 2500-9999 inhabitants) Pennsylvania. This institution has also branch campuses in the following location(s): Philadelphia. Officially accredited and/or recognized by the Middle States Commission on Higher Education Immaculata University (IU) is a small (uniRank enrollment range: 4000-4999 students) coeducational higher education institution formally affiliated with the Christian-Catholic religion. Immaculata University (IU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 100 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/6446.htm
970,Brevard College,Brevard,Founded in 1853 Brevard College is a non-profit private higher education institution located in the suburban setting of the small town of Brevard (population range of 2500-9999 inhabitants) North Carolina.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Brevard College  is a very small (uniRank enrollment range: 500-999 students) coeducational higher education institution formally affiliated with the Christian-Methodist religion. Brevard College offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 167 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 40-50% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.,/reviews/6205.htm
971,Nazareth College,Rochester,Founded in 1924 Nazareth College is a non-profit private higher education institution located in the suburban setting of the large town of Rochester (population range of 50000-249999 inhabitants) New York.  Officially accredited and/or recognized by the Middle States Commission on Higher Education Nazareth College  is a small (uniRank enrollment range: 3000-3999 students) coeducational higher education institution. Nazareth College offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 96 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.,/reviews/6113.htm
972,Athens State University,Athens,Established in 1822 Athens State University is a non-profit public higher education institution located in the suburban setting of the medium-sized town of Athens (population range of 10000-49999 inhabitants) Alabama.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Athens State University (ASU) is a small (uniRank enrollment range: 4000-4999 students) coeducational higher education institution. Athens State University (ASU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 197 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/4926.htm
973,Post University,Waterbury,Founded in 1890 Post University is a for-profit private higher education institution located in the suburban setting of the large town of Waterbury (population range of 50000-249999 inhabitants) Connecticut.  Officially accredited and/or recognized by the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges Post University (PU) is a large (uniRank enrollment range: 15000-19999 students) coeducational higher education institution. Post University (PU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 130 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International students are welcome to apply for enrollment.,/reviews/5219.htm
974,SUNY Delhi,Delhi,Established in 1913 SUNY Delhi is a non-profit public higher education institution located in the rural setting of the small town of Delhi (population range of 2500-9999 inhabitants) New York.  Officially accredited and/or recognized by the Middle States Commission on Higher Education SUNY Delhi (SUNY Delhi) is a small (uniRank enrollment range: 3000-3999 students) coeducational higher education institution. SUNY Delhi (SUNY Delhi) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 107 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/7702.htm
975,New York Medical College,Valhalla,Established in 1860 New York Medical College is a non-profit private higher education institution located in the suburban setting of the small town of Valhalla (population range of 2500-9999 inhabitants) New York.  Officially accredited and/or recognized by the Middle States Commission on Higher Education New York Medical College (NYMC) is a very small (uniRank enrollment range: 1000-1999 students) coeducational higher education institution formally affiliated with the Jewish religion. New York Medical College (NYMC) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. International applicants are eligible to apply for enrollment.,/reviews/6120.htm
976,Middle Georgia State University,Macon,Established in 2012 Middle Georgia State University is a non-profit public higher education institution located in the urban setting of the large town of Macon (population range of 50000-249999 inhabitants) Georgia.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Middle Georgia State University (MGA) is a medium-sized (uniRank enrollment range: 8000-8999 students) coeducational higher education institution. Middle Georgia State University (MGA) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 8 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/5338.htm
977,Wheeling University,Wheeling,Established in 1954 Wheeling University is a non-profit private higher education institution located in the urban setting of the medium-sized town of Wheeling (population range of 10000-49999 inhabitants) West Virginia.  Officially accredited and/or recognized by the Higher Learning Commission Wheeling University (WU) is a very small (uniRank enrollment range: 1000-1999 students) coeducational higher education institution formally affiliated with the Christian-Catholic religion. Wheeling University (WU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 66 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/6862.htm
978,Montana Tech,Butte,Established in 1899 Montana Tech is a non-profit public higher education institution located in the rural setting of the medium-sized town of Butte (population range of 10000-49999 inhabitants) Montana.  Officially accredited and/or recognized by the Northwest Commission on Colleges and Universities Montana Tech (MTECH) is a small (uniRank enrollment range: 2000-2999 students) coeducational higher education institution. Montana Tech (MTECH) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 120 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 90-100% making this US higher education organization a least selective institution. International applicants are eligible to apply for enrollment.,/reviews/5950.htm
979,Prairie View A&M University,Prairie View ...,Founded in 1876 Prairie View A&M University is a non-profit public higher education institution located in the rural setting of the small town of Prairie View (population range of 2500-9999 inhabitants) Texas. This institution has also branch campuses in the following location(s): Houston. Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Prairie View A&M University (PVAMU) is a medium-sized (uniRank enrollment range: 9000-9999 students) coeducational higher education institution. Prairie View A&M University (PVAMU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 144 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 30-40% making this US higher education organization a very selective institution. International students are welcome to apply for enrollment.,/reviews/6667.htm
980,Central College,Pella,Established in 1853 Central College is a non-profit private higher education institution located in the rural setting of the medium-sized town of Pella (population range of 10000-49999 inhabitants) Iowa.  Officially accredited and/or recognized by the Higher Learning Commission Central College  is a very small (uniRank enrollment range: 1000-1999 students) coeducational higher education institution formally affiliated with the Christian-Reformed religion. Central College offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 167 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/5530.htm
981,Barton College,Wilson,Established in 1902 Barton College is a non-profit private higher education institution located in the suburban setting of the medium-sized town of Wilson (population range of 10000-49999 inhabitants) North Carolina.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Barton College  is a very small (uniRank enrollment range: 1000-1999 students) coeducational higher education institution formally affiliated with the Christian-Reformed religion. Barton College offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 118 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 30-40% making this US higher education organization a very selective institution. International applicants are eligible to apply for enrollment.,/reviews/6202.htm
982,Southern University and A&M College,Baton Rouge,Founded in 1880 Southern University and A&M College is a non-profit public higher education institution located in the urban setting of the large town of Baton Rouge (population range of 50000-249999 inhabitants) Louisiana.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Southern University and A&M College (SUBR) is a medium-sized (uniRank enrollment range: 7000-7999 students) coeducational higher education institution. Southern University and A&M College (SUBR) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 139 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.,/reviews/5631.htm
983,Sterling College,Sterling,Established in 1887 Sterling College is a non-profit private higher education institution located in the rural setting of the small town of Sterling (population range of 2500-9999 inhabitants) Kansas.  Officially accredited and/or recognized by the Higher Learning Commission Sterling College (SC) is a very small (uniRank enrollment range: 500-999 students) coeducational higher education institution formally affiliated with the Christian-Presbyterian religion. Sterling College (SC) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 133 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 40-50% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/5582.htm
984,West Virginia State University,Institute,Established in 1891 West Virginia State University is a non-profit public higher education institution located in the suburban setting of the small town of Institute (population range of 2500-9999 inhabitants) West Virginia.  Officially accredited and/or recognized by the Higher Learning Commission West Virginia State University (WVSU) is a small (uniRank enrollment range: 3000-3999 students) coeducational higher education institution. West Virginia State University (WVSU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 129 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 40-50% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/6858.htm
985,Eastern Oregon University,La Grande,Established in 1929 Eastern Oregon University is a non-profit public higher education institution located in the rural setting of the medium-sized town of La Grande (population range of 10000-49999 inhabitants) Oregon.  Officially accredited and/or recognized by the Northwest Commission on Colleges and Universities Eastern Oregon University (EOU) is a medium-sized (uniRank enrollment range: 6000-6999 students) coeducational higher education institution. Eastern Oregon University (EOU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 91 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/6380.htm
986,San Francisco Art Institute,San Francisco,Established in 1871 San Francisco Art Institute is a non-profit private higher education institution located in the urban setting of the medium-sized city of San Francisco (population range of 500000-1000000 inhabitants) California.  Officially accredited and/or recognized by the WASC Senior College and University Commission San Francisco Art Institute (SFAI) is a very small (uniRank enrollment range: 500-999 students) coeducational higher education institution. San Francisco Art Institute (SFAI) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 149 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 90-100% making this US higher education organization a least selective institution. International applicants are eligible to apply for enrollment.,/reviews/5116.htm
